City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
los angeles,Consulting,,Private,50-200,Senior Manager,Masters or Equivalent,6,160000,16000,30000,10000,,,,2022,,,,,,,,,,,,,,,,,Los Angeles,California
san diego,Pharma,,Public,50-200,Research Associate I,Bachelors or Equivalent,0,55000,4400,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
illinois,Academia/Research,,Academia/College/Universities,5000+,Researcher 1,Bachelors or Equivalent,2,28000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Illinois,
new jersey,Pharma,Wuxi Biologics,Public,1000-5000,Manufacturing technician III,Bachelors or Equivalent,6,72800,5824,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,New Jersey,
near boston,Pharma,Abbvie,Public,5000+,Senior scientist I,PhD or Equivalent,0,120000,8%,Not Applicable/None,7000,15000,,,2022,,,,,,,,,,,,,,,,,Near Boston,
toronto,Pharma,,Start-up,Jan-50,Software Engineer (DevOps),Associate’s Degree or Equivalent,20,140000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Toronto,
bay area,Pharma,,Private,1000-5000,Research Associate II,Bachelors or Equivalent,4,82000,12.50%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
seattle,Medical Devices,,Public,1000-5000,Bioinformatics Scientist I,PhD or Equivalent,1,140000,11000,15000,15000,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
seattle,Academia/Research,,Start-up,50-200,Sr. Scientist,PhD or Equivalent,4,140000,21000,Not Applicable/None,0,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
nj,Pharma,,Private,5000+,Contract Assistant Scientist,Bachelors or Equivalent,2,54745,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Nj,
san diego,Pharma,,Public,200-1000,Research Associate II,Masters or Equivalent,2,68000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
"santa barbara, ca",Medical Devices,,Private,Jan-50,Head of Production,Bachelors or Equivalent,2,63648,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Santa Barbara,
san diego,Medical Devices,Illumina ,Public,5000+,Scientist I ,PhD or Equivalent,0,103000,8240,15000,0,20000,,,2022,,,,,,,,,,,,,,,,,San Diego,California
south san francisco,Pharma,Pact Pharma,Private,50-200,Scientist 1,Bachelors or Equivalent,13,131200,10,Not sure,2000,,,,2022,,,,,,,,,,,,,,,,,South San Francisco,
boston,Pharma,Intellia Therapeutics,Public,200-1000,Associate Scientist,Masters or Equivalent,4,100000,10000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
"kansas city, mo",Pharma,,Public,5000+,Associate Scientist II,Bachelors or Equivalent,1,51500,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Kansas City,
san francisco bay area,Academia/Research,,Start-up,Jan-50,Bioinformatics Scientist,PhD or Equivalent,1,155000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco Bay Area,
rdu,Pharma,,Public,5000+,Associate Process Engineer,Bachelors or Equivalent,2,72000,7200,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Rdu,
san francisco,Pharma,,Private,5000+,Senior clinical scientist,PhD or Equivalent,11,220000,40000,45000,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
mva,Pharma,,Public,1000-5000,Scientist I,PhD or Equivalent,2,108000,15000,85000,,,,,2022,,,,,,,,,,,,,,,,,Mva,
bay area,Pharma,,Public,5000+,Research scientist,Masters or Equivalent,2,95000,6500,Not Applicable/None,5000,9000,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
france,Pharma,Sanofi,Public,5000+,Principal scientist,M.D./PharmD/D.D.S. or Equivalent,7,75000,7500,11500,0,100000,,,2022,,,,,,,,,,,,,,,,,France,
los angeles,Pharma,,Public,200-1000,Principal Engineer,Bachelors or Equivalent,8,190000,38000,Not Applicable/None,,10000,,,2022,,,,,,,,,,,,,,,,,Los Angeles,California
bay area,Pharma,,Start-up,Jan-50,Research Associate ,Bachelors or Equivalent,1,75000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,Gilead,Public,5000+,SRA 1,Bachelors or Equivalent,5,100000,7500,5000,5000,5000,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
switzerland,Research devices,,Private,50-200,Scientific Affairs Scientist,PhD or Equivalent,3,88000,7000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Switzerland,
philadelphia,Pharma,Janssen,Public,5000+,Sr. Scientist ,PhD or Equivalent,6,142000,15%,15% LTI for ~50% people in pay band,,,,,2022,,,,,,,,,,,,,,,,,Philadelphia,Pennsylvania
boston,Pharma,,Public,50-200,Scientist 1,PhD or Equivalent,1,101000,12000,Not Applicable/None,0,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Academia/Research,Arbor Biotechnologies ,Start-up,50-200,Senior Research Associate ,Associate’s Degree or Equivalent,4,82000,6150,Not Applicable/None,,15000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
baltimore/washington dc,Pharma,,Public,5000+,Scientist 1,PhD or Equivalent,0,88000,3500,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,Baltimore/Washington Dc,
san diego,Pharma,,Public,50-200,Scientist I,PhD or Equivalent,4,120000,Not Applicable/None,Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
boston,Pharma,,Start-up,Jan-50,Scientist,PhD or Equivalent,2,124000,6000,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
new york metropolitan area,Pharma,,Public,5000+,Scientist II,Bachelors or Equivalent,3,83567,6267,Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,New York Metropolitan Area,
"brighton, uk",Academia/Research,,Academia/College/Universities,1000-5000,Research Associate,Bachelors or Equivalent,0,35000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Brighton,
boston,Pharma,,Private,50-200,Principal Research Associate II,Bachelors or Equivalent,9,105000,15000,Variable,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Private,50-200,Research Associate  2,Bachelors or Equivalent,5,82000,10%,Not Applicable/None,7000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
thousand oaks (los angeles),Pharma,Amgen,Public,5000+,Sr. Associate Manufacturing,Bachelors or Equivalent,4,85000,~5-10k (performance based),LTI ~2k,,,,,2022,,,,,,,,,,,,,,,,,Thousand Oaks (Los Angeles),
ireland,Pharma,,Private,200-1000,QA Analyst,Bachelors or Equivalent,1,41200,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Ireland,
new york city,Pharma,,Public,5000+,Senior scientist,Masters or Equivalent,4,142000,15%,$8k,,,,,2022,,,,,,,,,,,,,,,,,New York City,
"chicago, il",Pharma,AbbVie,Public,5000+,Senior Scientist I,PhD or Equivalent,2,114000,8%,Not Applicable/None,20000,15000,,,2022,,,,,,,,,,,,,,,,,Chicago,Illinois
"portland, or",Medical Devices,,Private,Jan-50,Research associate II,Bachelors or Equivalent,4,72000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Portland,
boston,Pharma,,Private,50-200,Scientist I,PhD or Equivalent,4,122000,10%,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
"indianapolis, in",Pharma,Eli Lilly,Public,5000+,Scientist,Bachelors or Equivalent,0,66000,6k plus or minus some. Up to 14k,6% 401K match. Pension after 5 years. ,,15000,,,2022,,,,,,,,,,,,,,,,,Indianapolis,
"rtp, nc",Pharma,,Start-up,50-200,Director,Bachelors or Equivalent,18,200000,50000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Rtp,
boston,Medical Devices,,Public,200-1000,Production Associate 1,Associate’s Degree or Equivalent,1,55000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Biogen,Public,5000+,Sr Scientist,PhD or Equivalent,4,148000,25900,24000,15000,40000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
canada,Animal Health,,Public,1000-5000,Supervisor ,Bachelors or Equivalent,5,102000,10200,Not Applicable/None,5000,5000,,,2022,,,,,,,,,,,,,,,,,Canada,
boston,Academia/Research,DFCI,Private,200-1000,Intern,High School or Equivalent,1,0,Not Applicable/None,Not Applicable/None,0,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Abbvie,Public,5000+,Scientist I,Bachelors or Equivalent,5,89000,8%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
"cambridge, ma",Pharma,,Private,50-200,Senior Scientist,PhD or Equivalent,2,140000,16%,Not Applicable/None,20000,,,,2022,,,,,,,,,,,,,,,,,Cambridge,Massachusetts
kansas city,Pharma,,Public,5000+,Associate Scientist,Bachelors or Equivalent,1,50000,Not Applicable/None,Not Applicable/None,0,,,,2022,,,,,,,,,,,,,,,,,Kansas City,
seattle,Analytical Devices,NanoString Technologies Inc.,Public,200-1000,Research Associate II,Masters or Equivalent,3,62500,3125,5000,,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
orange county,Pharma,"Commissioning Agents, Inc",Private,1000-5000,CQV Engineer,Bachelors or Equivalent,0,81120,Not Applicable/None,12000,,,,,2022,,,,,,,,,,,,,,,,,Orange County,
boston,Pharma,,Public,200-1000,Research Associate I,Bachelors or Equivalent,1,72000,7200,2500,0,0,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
phoenix,Medical Devices,,Public,200-1000,Field Applications Scientist,Masters or Equivalent,11,88400,8000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Phoenix,
bay area,Pharma,,Public,50-200,principal scientist,PhD or Equivalent,8,170000,25000,30000,10000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,,Private,50-200,senior scientist 1,PhD or Equivalent,8,148000,25000,30000,5000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
seattle,Pharma,Just-Evotec Biologics,Subsidiary,200-1000,Associate Scientist,Bachelors or Equivalent,1,70000,3500,~3500,0,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
pittsburgh,Academia/Research,,Academia/College/Universities,5000+,PhD Student,Bachelors or Equivalent,0,30000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Pittsburgh,
boston,Pharma,,Public,50-200,Senior associate scientist ,Bachelors or Equivalent,4,109000,16500,5000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,,Public,200-1000,Sr. Scientist I,PhD or Equivalent,3,135000,13500,not sure,7500,0,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
"newark, ca",Pharma,,Public,200-1000,Research Associate I - Protein Purification,Bachelors or Equivalent,2,76650,7665,13000,,,,,2022,,,,,,,,,,,,,,,,,Newark,
"knoxville, tn",Academia/Research,ORNL,Government,5000+,Postdoc,PhD or Equivalent,1,70000,Not Applicable/None,Not Applicable/None,0,5000,,,2022,,,,,,,,,,,,,,,,,Knoxville,
"cambridge, uk",Pharma,,Start-up,Jan-50,Research Technican,Bachelors or Equivalent,0,25500,2550,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Cambridge,Massachusetts
sf bay area,Pharma,,Private,50-200,Senior Scientist,PhD or Equivalent,7,185000,37000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Sf Bay Area,
"cambridge,ma",Pharma,,Public,50-200,Scientist I,PhD or Equivalent,0,125,12000,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Cambridge,Massachusetts
"hayward, ca",Pharma,,Public,200-1000,Scientist,PhD or Equivalent,0,135000,13500,Not Applicable/None,,5000,,,2022,,,,,,,,,,,,,,,,,Hayward,
seattle,Pharma,,Subsidiary,50-200,Scientist,Bachelors or Equivalent,3,100000,6000,3000,,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
bay area,Pharma,,Public,200-1000,Principal Research Associate,Masters or Equivalent,6,118000,11800,Not Applicable/None,5000,12000,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
triangle,Pharma,,Public,5000+,Sr. Validation Engineer,Bachelors or Equivalent,10,95000,9500,Not Applicable/None,,18000,,,2022,,,,,,,,,,,,,,,,,Triangle,
bay area,Pharma,,Public,1000-5000,Sr. Manager,PhD or Equivalent,20,175000,Not Applicable/None,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Pharma,,Public,1000-5000,MFG Supervisor,Masters or Equivalent,6,130000,13000,Not Applicable/None,10000,3000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
seattle,Pharma,,Private,1000-5000,Specialist I,Bachelors or Equivalent,3,62000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
"waco, tx",Pharma,Abbvie,Public,5000+,Laboratory Technician V,Bachelors or Equivalent,3,70720,3%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Waco,
bay area,Academia/Research,,Start-up,Jan-50,Scientist,PhD or Equivalent,2,96000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
new haven,Pharma,,Public,1000-5000,Associate Scientist II,Bachelors or Equivalent,2,77000,7%,10000 RSUs,,24000,,,2022,,,,,,,,,,,,,,,,,New Haven,
san diego,Pharma,,Public,50-200,Research Associate II,Bachelors or Equivalent,2,88000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
boston,Pharma,,Public,200-1000,Scientist,PhD or Equivalent,2,135000,15,10000,,20000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
belgium,Academia/Research,,Academia/College/Universities,200-1000,PhD student,Masters or Equivalent,0,27000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Belgium,
chicago il,Lab consumables,,Public,5000+,Scientist I,Bachelors or Equivalent,2,69300,7000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Chicago Il,
san francisco,Pharma,,Start-up,Jan-50,Research Associate,Bachelors or Equivalent,1,80000,7%,4750,5000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
los angeles,Pharma,,Public,5000+,QC Analyst 2,Bachelors or Equivalent,1,70720,5000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Los Angeles,California
